"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"1","Fetal B Cells",TRUE,6.12744982979432e-57,80,344,68,0.197674418604651,0.85,"CORUM:306","CORUM","Ribosome, cytoplasmic",3625,183
"2","Fetal B Cells",TRUE,3.41736651077466e-32,104,344,59,0.171511627906977,0.567307692307692,"CORUM:3055","CORUM","Nop56p-associated pre-rRNA complex",3625,1362
"3","Fetal B Cells",TRUE,1.60625344750522e-30,47,344,39,0.113372093023256,0.829787234042553,"CORUM:308","CORUM","60S ribosomal subunit, cytoplasmic",3625,184
"4","Fetal B Cells",TRUE,8.12665933169897e-24,33,339,29,0.0855457227138643,0.878787878787879,"CORUM:305","CORUM","40S ribosomal subunit, cytoplasmic",3625,182
"5","Fetal B Cells",TRUE,8.32444301281793e-22,31,339,27,0.079646017699115,0.870967741935484,"CORUM:338","CORUM","40S ribosomal subunit, cytoplasmic",3625,199
"6","Fetal B Cells",TRUE,7.43312218871833e-13,25,332,19,0.0572289156626506,0.76,"CORUM:5380","CORUM","TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",3625,1658
"7","Fetal B Cells",TRUE,0.0336366958189668,14,304,7,0.0230263157894737,0.5,"CORUM:5266","CORUM","TNF-alpha/NF-kappa B signaling complex 6",3625,1618
"8","Fetal B Cells",TRUE,8.5596720860189e-93,91,344,68,0.197674418604651,0.747252747252747,"GO:0006614","GO:BP","SRP-dependent cotranslational protein targeting to membrane",16038,2620
"9","Fetal B Cells",TRUE,5.15678481108299e-89,98,344,68,0.197674418604651,0.693877551020408,"GO:0006613","GO:BP","cotranslational protein targeting to membrane",16038,2619
"10","Fetal B Cells",TRUE,1.01063329781067e-85,105,344,68,0.197674418604651,0.647619047619048,"GO:0045047","GO:BP","protein targeting to ER",16038,13202
"11","Fetal B Cells",TRUE,5.18240902695934e-84,109,344,68,0.197674418604651,0.623853211009174,"GO:0072599","GO:BP","establishment of protein localization to endoplasmic reticulum",16038,20550
"12","Fetal B Cells",TRUE,1.83306682350309e-83,115,345,69,0.2,0.6,"GO:0000184","GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",16038,79
