"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.36529747073267,0.982,0.118,0,"Fetal B Cells","IGHM"
"2",0,2.13090771179639,0.965,0.129,0,"Fetal B Cells","CD79A"
"3",0,2.09594623972014,0.429,0.033,0,"Fetal B Cells","IGLC2"
"4",0,1.88938222286545,0.62,0.133,0,"Fetal B Cells","IGKC"
"5",0,1.78812552759584,0.337,0.023,0,"Fetal B Cells","IGLC3"
"6",0,1.69813663916539,0.285,0.015,0,"Fetal B Cells","IGLC1"
"7",0,1.60633931402283,0.82,0.07,0,"Fetal B Cells","MS4A1"
"8",0,1.57190248259537,0.999,0.662,0,"Fetal B Cells","CD74"
"9",0,1.47370918784123,0.815,0.063,0,"Fetal B Cells","IGHD"
"10",0,1.42645127986109,0.997,0.452,0,"Fetal B Cells","HLA-DRA"
"11",0,2.3793875523437,0.948,0.228,0,"Fetal CD14+ Monocytes","S100A8"
"12",0,2.37228659217009,0.988,0.47,0,"Fetal CD14+ Monocytes","TIMP1"
"13",0,2.31610912290911,0.977,0.432,0,"Fetal CD14+ Monocytes","S100A9"
"14",0,2.26349960186669,0.857,0.132,0,"Fetal CD14+ Monocytes","AC020656.1"
"15",0,2.23150422722056,0.866,0.379,0,"Fetal CD14+ Monocytes","CXCL8"
"16",0,2.20931581336196,0.856,0.2,0,"Fetal CD14+ Monocytes","G0S2"
"17",0,2.13065255459861,0.864,0.228,0,"Fetal CD14+ Monocytes","IL1B"
"18",0,2.08689219893777,0.986,0.224,0,"Fetal CD14+ Monocytes","LYZ"
"19",0,2.00545160784302,0.844,0.088,0,"Fetal CD14+ Monocytes","S100A12"
"20",0,1.85643534383119,0.935,0.142,0,"Fetal CD14+ Monocytes","FCN1"
"21",0,2.453017311433,0.924,0.155,0,"Fetal CD8+ Cytotoxic T Cells","GZMB"
"22",0,2.29277818699915,0.996,0.286,0,"Fetal CD8+ Cytotoxic T Cells","NKG7"
"23",0,2.20459294700296,0.855,0.177,0,"Fetal CD8+ Cytotoxic T Cells","GNLY"
"24",0,2.05172596987881,0.838,0.128,0,"Fetal CD8+ Cytotoxic T Cells","PRF1"
"25",0,1.97426982442421,0.897,0.185,0,"Fetal CD8+ Cytotoxic T Cells","CTSW"
"26",0,1.93945912107607,0.793,0.115,0,"Fetal CD8+ Cytotoxic T Cells","SPON2"
"27",0,1.87821425817055,0.922,0.2,0,"Fetal CD8+ Cytotoxic T Cells","CST7"
"28",0,1.85934725598933,0.972,0.179,0,"Fetal CD8+ Cytotoxic T Cells","KLRB1"
"29",0,1.83725518574859,0.84,0.144,0,"Fetal CD8+ Cytotoxic T Cells","GZMA"
